2011	SIGCOMM '11	Efficient Content Dissemination in Heterogeneous Networks Prone to Episodic Connectivity	{u'University of California, Santa Cruz, CA, USA': u'INRIA, Sophia Antipolis, France', u'Amir Krifa': u'INRIA, Sophia Antipolis, France', u'INRIA, Sophia Antipolis, France': u'University of California, Santa Cruz, CA, USA', u'Rao Naveed Bin Rais': u'INRIA, Sophia Antiplis, France', u'Marc Mendonca': u'INRIA, Sophia Antipolis, France'}	buffer management, disruption tolerance, episodic connectivity, heterogeneous networks
2012	SIGCOMM '12	Mirror Mirror on the Ceiling: Flexible Wireless Links for Data Centers	{u'Xia Zhou': u'U. C. Santa Barbara, Santa Barbara, USA', u"Xi'an Jiaotong University, Xi'an, China": u'U. C. Santa Barbara, Santa Barbara, USA', u'Yubo Li': u'U. C. Santa Barbara, Santa Barbara, USA', u'U. C. Santa Barbara, Santa Barbara, USA': u'Google and U. C. San Diego, Mountain View, USA', u'Yibo Zhu': u'U. C. Santa Barbara, Santa Barbara, USA', u'Zengbin Zhang': u'U. C. Santa Barbara, Santa Barbara, USA'}	60 ghz wireless, data centers, wireless beamforming
2013	SIGCOMM '13	Topology-aware Content-centric Networking	{u'Tong Niu': u'Peking University, Beijing, China', u'Peking University, Beijing, China': u'Peking University, Beijing, China', u'Xinggong Zhang': u'Peking University, Beijing, China'}	distributed registration, information-centric networking, name-based routing, topology-aware fib, url-like naming
2014	SIGCOMM '14	CONGA: Distributed Congestion-aware Load Balancing for Datacenters	{u'Sarang Dharmapurikar': u'Cisco Systems, San Jose, CA, USA', u'Cisco Systems, San Jose, CA, USA': u'Cisco Systems, San Jose, CA, USA', u'Mohammad Alizadeh': u'Cisco Systems, San Jose, CA, USA', u'Ramanan Vaidyanathan': u'Google, Mountain View, CA, USA', u'Kevin Chu': u'Cisco Systems, San Jose, CA, USA', u'Tom Edsall': u'Cisco Systems, San Jose, CA, USA', u'Andy Fingerhut': u'Microsoft, Mountain View, CA, USA'}	datacenter fabric, distributed, load balancing
2015	SIGIR '15	SPS'15: 2015 International Workshop on Social Personalization \&\#38; Search	{u'Denis Parra': u'University of Pittsburgh, Pittsburgh, USA', u'Christoph Trattner': u'NTNU, Trondheim, Norway', u'NTNU, Trondheim, Norway': u'PUC, Santiago de Chile, Chile', u'PUC, Santiago de Chile, Chile': u'UFCG, Campina Grande, Brazil'}	recommender systems, social personalization, social search \&\#38; navigation, user modeling
2015	SIGIR '15	Privacy-Preserving IR 2015: When Information Retrieval Meets Privacy and Security	{u'Hui Yang': u'Georgetown University, Washington, DC, USA', u'Georgetown University, Washington, DC, USA': u'National Institute of Standards and Technology, Gaithersburg, MD, USA'}	privacy-preserving information retrieval
2012	SIGIR '12	Advances on the Development of Evaluation Measures	{u'Ben Carterette': u'University of Delaware, Newark, DE, USA', u'University of Delaware, Newark, DE, USA': u'University of Sheffield, Sheffield, United Kingdom', u'Evangelos Kanoulas': u'Microsoft Research, Cambridge, United Kingdom'}	cascade model, diversity, evaluation, information retrieval, measures, novelty, session evaluation, user models
2011	SIGIR '11	Elsevier SIGIR 2011 Application Challenge Abstract	[u'Jukka Valimaki', u'Remko Caprio']	api, elsevier, sciverse, search of scientific articles
2011	SIGMOD '11	Rapid Development of Web-based Query Interfacesfor XML Datasets with QURSED	{u'SUNY at Buffalo, Buffalo, NY, USA': u'SUNY at Buffalo, Buffalo, NY, USA', u'Abhijith Kashyap': u'SUNY at Buffalo, Buffalo, NY, USA'}	XML, query interface., user interfaces
2011	SIGMOD '11	DBWiki: A Structured Wiki for Curated Data and Collaborative Data Management	{u'James Cheney': u'University of Edinburgh, Edinburgh, United Kingdom', u'Peter Buneman': u'University of Edinburgh, Edinburgh, United Kingdom', u'University of Edinburgh, Edinburgh, United Kingdom': u'CSIRO, Hobart, Australia'}	curation, databases, wikis
2011	SIGMOD '11	GBLENDER: Visual Subgraph Query Formulation Meets Query Processing	{u'Sourav S. Bhowmick': u'Nanyang Technological University, Singapore, China', u'Changjiu Jin': u'Nanyang Technological University, Singapore, China', u'Nanyang Technological University, Singapore, China': u'Hong Kong Baptist University, Hong Kong, China', u'Xiaokui Xiao': u'Fudan University, Shanghai, China'}	frequent subgraphs, graph databases, graph indexing, infrequent subgraphs, prefetching, visual query formulation
2011	SIGMOD '11	Coordination Through Querying in the Youtopia System	{u'Gabriel Bender': u'Cornell University, Ithaca, NY, USA', u'Nitin Gupta': u'Cornell University, Ithaca, NY, USA', u'Lucja Kot': u'Cornell University, Ithaca, NY, USA', u'Cornell University, Ithaca, NY, USA': u'EPFL, Lausanne, Switzerland'}	coordination, d3c, entangled queries
2011	SIGMOD '11	NetTrails: A Declarative Platform for Maintaining and Querying Provenance in Distributed Systems	{u'Shengzhi Sun': u'University of Pennsylvania, Philadelphia, PA, USA', u'Tao Tao': u'University of Pennsylvania, Philadelphia, PA, USA', u'Wenchao Zhou': u'University of Pennsylvania, Philadelphia, PA, USA', u'Qiong Fei': u'University of Pennsylvania, Philadelphia, PA, USA', u'University of Pennsylvania, Philadelphia, PA, USA': u'Georgetown University, Washington, DC, USA'}	declarative networking, provenance, visualization
2011	SIGMOD '11	Automatic Example Queries for Ad Hoc Databases	{u'University of Washington, Seattle, WA, USA': u'University of Washington, Seattle, WA, USA', u'Garret Cole': u'University of Washington, Seattle, WA, USA', u'Bill Howe': u'University of Washington, Seattle, WA, USA'}	dataspaces, query recommendation, scientific databases
2011	SIGMOD '11	Demonstration of Qurk: A Query Processor for Humanoperators	{u'Adam Marcus': u'MIT CSAIL, Cambridge, MA, USA', u'MIT CSAIL, Cambridge, MA, USA': u'MIT CSAIL, Cambridge, MA, USA', u'Eugene Wu': u'MIT CSAIL, Cambridge, MA, USA', u'David R. Karger': u'MIT CSAIL, Cambridge, MA, USA'}	crowdsourcing, databases, human computing
2011	SIGMOD '11	CONFLuEnCE: CONtinuous workFLow ExeCution Engine	{u'Panayiotis Neophytou': u'University of Pittsburgh, Pittsburgh, PA, USA', u'University of Pittsburgh, Pittsburgh, PA, USA': u'University of Pittsburgh, Pittsburgh, PA, USA', u'Panos K. Chrysanthis': u'University of Pittsburgh, Pittsburgh, PA, USA'}	continuous workflows, data streams, patterns, scientific workflows, supply chain management, workflow
2011	SIGMOD '11	LinkDB: A Probabilistic Linkage Database System	{u'Ekaterini Ioannou': u'Technical University of Crete, Chania, Greece', u'Technical University of Crete, Chania, Greece': u'University of Trento, Trento, Italy'}	data integration, entity linkage, entity resolution
2011	SIGMOD '11	Fuzzy Prophet: Parameter Exploration in Uncertain Enterprise Scenarios	{u'Charles Loboz': u'Microsoft Research, Seattle, WA, USA', u'Microsoft Corporation, Seattle, WA, USA': u'Microsoft Corporation, Seattle, WA, USA', u'EPFL, Lausanne, Switzerland': u'Microsoft Corporation, Seattle, WA, USA', u'Steve Lee': u'Microsoft Corporation, Seattle, WA, USA', u'Oliver A. Kennedy': u'EPFL, Lausanne, Switzerland'}	Monte Carlo, black box, probabilistic database, simulation
